Restoring modules from user's fosscuda111, for system: "farnam-rhel7"
/home/vs428/project/MedMentions/full/pretraining5/entity_vocab.jsonl
Some weights of the model checkpoint at microsoft/BiomedNLP-PubMedBERT-base-uncased-abstract were not used when initializing BertModel: ['cls.predictions.transform.dense.weight', 'cls.predictions.transform.dense.bias', 'cls.predictions.transform.LayerNorm.weight', 'cls.predictions.transform.LayerNorm.bias', 'cls.predictions.decoder.weight', 'cls.predictions.bias', 'cls.predictions.decoder.bias', 'cls.seq_relationship.bias', 'cls.seq_relationship.weight']
- This IS expected if you are initializing BertModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing BertModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
0
<torch.cuda.device object at 0x2aee25b50b20>
1
GeForce GTX 1080 Ti
[1,     5] train loss: 1.009
[1,    10] train loss: 0.997
[1,    15] train loss: 0.998
[1,    20] train loss: 0.992
[1,    25] train loss: 0.991
[1,    30] train loss: 0.992
[1,    35] train loss: 0.981
[1,    40] train loss: 0.978
[1,    45] train loss: 0.985
[1,    50] train loss: 0.972
[1,    55] train loss: 0.965
[1,    60] train loss: 0.957
[1,    65] train loss: 0.958
[1,    70] train loss: 0.954
[1,    75] train loss: 0.948
[1,    80] train loss: 0.944
[1,    85] train loss: 0.939
[1,    90] train loss: 0.937
[1,    95] train loss: 0.936
[1,   100] train loss: 0.924
[1,   105] train loss: 0.928
[1,   110] train loss: 0.928
[1,   115] train loss: 0.917
[1,   120] train loss: 0.915
[1,   125] train loss: 0.915
[1,   130] train loss: 0.910
[1,   135] train loss: 0.911
[1,   140] train loss: 0.902
[1,   145] train loss: 0.908
[1,   150] train loss: 0.908
[1,   155] train loss: 0.904
[1,   160] train loss: 0.900
[1,   165] train loss: 0.903
[1,   170] train loss: 0.896
[1,   175] train loss: 0.885
[1,   180] train loss: 0.890
[1,   185] train loss: 0.895
[1,   190] train loss: 0.888
[1,   195] train loss: 0.886
[1,   200] train loss: 0.889
[1,   205] train loss: 0.898
[1,   210] train loss: 0.879
[1,   215] train loss: 0.888
[1,   220] train loss: 0.874
[1,   225] train loss: 0.879
[1,   230] train loss: 0.881
[1,   235] train loss: 0.882
[1,   240] train loss: 0.870
[1,   245] train loss: 0.880
[1,   250] train loss: 0.873
[1,   255] train loss: 0.879
[1,   260] train loss: 0.876
[1,   265] train loss: 0.868
[1,   270] train loss: 0.867
[1,   275] train loss: 0.873
[1,   280] train loss: 0.866
[1,   285] train loss: 0.868
[1,   290] train loss: 0.871
[1,   295] train loss: 0.872
[1,   300] train loss: 0.850
[1,   305] train loss: 0.848
[1,   310] train loss: 0.866
[1,   315] train loss: 0.864
[1,   320] train loss: 0.859
[1,   325] train loss: 0.865
[1,   330] train loss: 0.859
Finished Training
[1,     5] test loss: 0.845
[1,    10] test loss: 0.837
[1,    15] test loss: 0.836
[1,    20] test loss: 0.846
[1,    25] test loss: 0.842
[1,    30] test loss: 0.834
[1,    35] test loss: 0.840
[1,    40] test loss: 0.837
[1,    45] test loss: 0.851
[1,    50] test loss: 0.835
[1,    55] test loss: 0.827
[1,    60] test loss: 0.827
[1,    65] test loss: 0.844
[1,    70] test loss: 0.844
[1,    75] test loss: 0.834
[1,    80] test loss: 0.828
[1,    85] test loss: 0.841
[1,    90] test loss: 0.846
[1,    95] test loss: 0.839
[1,   100] test loss: 0.837
[1,   105] test loss: 0.832
[1,   110] test loss: 0.832
-----------------------------------------------------------------------------------------
Micro-Precision: 0.0958726778626442, Macro-Precision: nan

Micro-Recall: 0.09211566299200058, Macro-Recall: nan

Micro-F1: 0.09395662695169449, Macro-F1: nan

-----------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------
| end of epoch   0 | time: 130.73s | valid loss  0.85 | valid ppl     2.33
-----------------------------------------------------------------------------------------
[2,     5] train loss: 0.850
[2,    10] train loss: 0.848
[2,    15] train loss: 0.844
[2,    20] train loss: 0.849
[2,    25] train loss: 0.851
[2,    30] train loss: 0.841
[2,    35] train loss: 0.842
[2,    40] train loss: 0.844
[2,    45] train loss: 0.852
[2,    50] train loss: 0.846
[2,    55] train loss: 0.843
[2,    60] train loss: 0.836
[2,    65] train loss: 0.834
[2,    70] train loss: 0.835
[2,    75] train loss: 0.830
[2,    80] train loss: 0.838
[2,    85] train loss: 0.841
[2,    90] train loss: 0.824
[2,    95] train loss: 0.836
[2,   100] train loss: 0.819
[2,   105] train loss: 0.826
[2,   110] train loss: 0.826
[2,   115] train loss: 0.827
[2,   120] train loss: 0.817
[2,   125] train loss: 0.832
[2,   130] train loss: 0.833
[2,   135] train loss: 0.832
[2,   140] train loss: 0.823
[2,   145] train loss: 0.812
[2,   150] train loss: 0.825
[2,   155] train loss: 0.830
[2,   160] train loss: 0.820
[2,   165] train loss: 0.834
[2,   170] train loss: 0.811
[2,   175] train loss: 0.806
[2,   180] train loss: 0.830
[2,   185] train loss: 0.818
[2,   190] train loss: 0.819
[2,   195] train loss: 0.822
[2,   200] train loss: 0.810
[2,   205] train loss: 0.809
[2,   210] train loss: 0.817
[2,   215] train loss: 0.822
[2,   220] train loss: 0.818
[2,   225] train loss: 0.803
[2,   230] train loss: 0.816
[2,   235] train loss: 0.816
[2,   240] train loss: 0.822
[2,   245] train loss: 0.819
[2,   250] train loss: 0.798
[2,   255] train loss: 0.815
[2,   260] train loss: 0.805
[2,   265] train loss: 0.810
[2,   270] train loss: 0.809
[2,   275] train loss: 0.799
[2,   280] train loss: 0.822
[2,   285] train loss: 0.806
[2,   290] train loss: 0.804
[2,   295] train loss: 0.813
[2,   300] train loss: 0.805
[2,   305] train loss: 0.814
[2,   310] train loss: 0.795
[2,   315] train loss: 0.813
[2,   320] train loss: 0.807
[2,   325] train loss: 0.807
[2,   330] train loss: 0.802
Finished Training
[2,     5] test loss: 0.785
[2,    10] test loss: 0.769
[2,    15] test loss: 0.783
[2,    20] test loss: 0.767
[2,    25] test loss: 0.765
[2,    30] test loss: 0.766
[2,    35] test loss: 0.786
[2,    40] test loss: 0.776
[2,    45] test loss: 0.782
[2,    50] test loss: 0.779
[2,    55] test loss: 0.781
[2,    60] test loss: 0.776
[2,    65] test loss: 0.769
[2,    70] test loss: 0.772
[2,    75] test loss: 0.773
[2,    80] test loss: 0.771
[2,    85] test loss: 0.778
[2,    90] test loss: 0.783
[2,    95] test loss: 0.784
[2,   100] test loss: 0.782
[2,   105] test loss: 0.778
[2,   110] test loss: 0.782
-----------------------------------------------------------------------------------------
Micro-Precision: 0.18765351176261902, Macro-Precision: nan

Micro-Recall: 0.21017588675022125, Macro-Recall: nan

Micro-F1: 0.19827717542648315, Macro-F1: nan

-----------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------
| end of epoch   1 | time: 134.19s | valid loss  0.78 | valid ppl     2.19
-----------------------------------------------------------------------------------------
[3,     5] train loss: 0.802
[3,    10] train loss: 0.788
[3,    15] train loss: 0.799
[3,    20] train loss: 0.793
[3,    25] train loss: 0.789
[3,    30] train loss: 0.782
[3,    35] train loss: 0.779
[3,    40] train loss: 0.784
[3,    45] train loss: 0.781
[3,    50] train loss: 0.791
[3,    55] train loss: 0.795
[3,    60] train loss: 0.778
[3,    65] train loss: 0.773
[3,    70] train loss: 0.787
[3,    75] train loss: 0.791
[3,    80] train loss: 0.792
[3,    85] train loss: 0.771
[3,    90] train loss: 0.778
[3,    95] train loss: 0.781
[3,   100] train loss: 0.796
[3,   105] train loss: 0.768
[3,   110] train loss: 0.788
[3,   115] train loss: 0.793
[3,   120] train loss: 0.783
[3,   125] train loss: 0.774
