Restoring modules from user's fosscuda111, for system: "farnam-rhel7"
/home/vs428/project/MedMentions/full/pretraining/entity_vocab.jsonl
Some weights of the model checkpoint at microsoft/BiomedNLP-PubMedBERT-base-uncased-abstract were not used when initializing BertModel: ['cls.seq_relationship.bias', 'cls.predictions.transform.dense.weight', 'cls.seq_relationship.weight', 'cls.predictions.transform.LayerNorm.bias', 'cls.predictions.transform.dense.bias', 'cls.predictions.decoder.bias', 'cls.predictions.transform.LayerNorm.weight', 'cls.predictions.bias', 'cls.predictions.decoder.weight']
- This IS expected if you are initializing BertModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing BertModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
0
<torch.cuda.device object at 0x2add0128adc0>
1
GeForce GTX 1080 Ti
[1,     5] train loss: 0.991
[1,    10] train loss: 0.964
[1,    15] train loss: 0.958
[1,    20] train loss: 0.946
[1,    25] train loss: 0.941
[1,    30] train loss: 0.921
[1,    35] train loss: 0.929
[1,    40] train loss: 0.933
[1,    45] train loss: 0.927
[1,    50] train loss: 0.908
[1,    55] train loss: 0.907
[1,    60] train loss: 0.899
[1,    65] train loss: 0.902
[1,    70] train loss: 0.896
[1,    75] train loss: 0.885
[1,    80] train loss: 0.902
[1,    85] train loss: 0.900
[1,    90] train loss: 0.944
[1,    95] train loss: 0.948
[1,   100] train loss: 0.910
[1,   105] train loss: 0.888
[1,   110] train loss: 0.897
[1,   115] train loss: 0.887
[1,   120] train loss: 0.883
[1,   125] train loss: 0.885
[1,   130] train loss: 0.883
[1,   135] train loss: 0.878
[1,   140] train loss: 0.872
[1,   145] train loss: 0.875
[1,   150] train loss: 0.887
[1,   155] train loss: 0.867
[1,   160] train loss: 0.875
[1,   165] train loss: 0.887
[1,   170] train loss: 0.872
[1,   175] train loss: 0.889
[1,   180] train loss: 0.890
[1,   185] train loss: 0.853
[1,   190] train loss: 0.871
[1,   195] train loss: 0.864
[1,   200] train loss: 0.856
[1,   205] train loss: 0.857
[1,   210] train loss: 0.862
[1,   215] train loss: 0.840
[1,   220] train loss: 0.859
[1,   225] train loss: 0.839
[1,   230] train loss: 0.847
[1,   235] train loss: 0.825
[1,   240] train loss: 0.823
[1,   245] train loss: 0.821
[1,   250] train loss: 0.825
[1,   255] train loss: 0.831
[1,   260] train loss: 0.836
[1,   265] train loss: 0.818
[1,   270] train loss: 0.814
[1,   275] train loss: 0.814
[1,   280] train loss: 0.813
[1,   285] train loss: 0.831
[1,   290] train loss: 0.820
[1,   295] train loss: 0.812
[1,   300] train loss: 0.809
[1,   305] train loss: 0.794
[1,   310] train loss: 0.813
[1,   315] train loss: 0.799
[1,   320] train loss: 0.796
[1,   325] train loss: 0.806
[1,   330] train loss: 0.786
Finished Training
[1,     5] test loss: 0.783
[1,    10] test loss: 0.786
[1,    15] test loss: 0.798
[1,    20] test loss: 0.807
[1,    25] test loss: 0.786
[1,    30] test loss: 0.785
[1,    35] test loss: 0.791
[1,    40] test loss: 0.785
[1,    45] test loss: 0.766
[1,    50] test loss: 0.781
[1,    55] test loss: 0.790
[1,    60] test loss: 0.777
[1,    65] test loss: 0.801
[1,    70] test loss: 0.775
[1,    75] test loss: 0.775
[1,    80] test loss: 0.787
[1,    85] test loss: 0.788
[1,    90] test loss: 0.791
[1,    95] test loss: 0.780
[1,   100] test loss: 0.789
[1,   105] test loss: 0.800
[1,   110] test loss: 0.758
-----------------------------------------------------------------------------------------
Micro-Precision: 0.11513534933328629, Macro-Precision: nan

Micro-Recall: 0.11619501560926437, Macro-Recall: nan

Micro-F1: 0.11566275358200073, Macro-F1: nan

-----------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------
| end of epoch   0 | time: 128.86s | valid loss  0.79 | valid ppl     2.21
-----------------------------------------------------------------------------------------
[2,     5] train loss: 0.810
[2,    10] train loss: 0.780
[2,    15] train loss: 0.793
[2,    20] train loss: 0.772
[2,    25] train loss: 0.785
[2,    30] train loss: 0.787
[2,    35] train loss: 0.772
[2,    40] train loss: 0.806
[2,    45] train loss: 0.783
[2,    50] train loss: 0.805
[2,    55] train loss: 0.791
[2,    60] train loss: 0.778
[2,    65] train loss: 0.783
[2,    70] train loss: 0.771
[2,    75] train loss: 0.783
[2,    80] train loss: 0.773
[2,    85] train loss: 0.777
[2,    90] train loss: 0.774
[2,    95] train loss: 0.762
[2,   100] train loss: 0.777
[2,   105] train loss: 0.779
[2,   110] train loss: 0.770
[2,   115] train loss: 0.792
[2,   120] train loss: 0.816
[2,   125] train loss: 0.787
[2,   130] train loss: 0.803
[2,   135] train loss: 0.819
[2,   140] train loss: 0.922
[2,   145] train loss: 0.986
[2,   150] train loss: 0.978
[2,   155] train loss: 0.963
[2,   160] train loss: 0.978
[2,   165] train loss: 0.975
[2,   170] train loss: 0.968
[2,   175] train loss: 0.974
[2,   180] train loss: 0.979
[2,   185] train loss: 0.977
[2,   190] train loss: 0.977
[2,   195] train loss: 0.977
[2,   200] train loss: 0.978
[2,   205] train loss: 0.972
[2,   210] train loss: 0.969
[2,   215] train loss: 0.970
[2,   220] train loss: 0.975
[2,   225] train loss: 0.971
[2,   230] train loss: 0.970
[2,   235] train loss: 0.978
[2,   240] train loss: 0.970
[2,   245] train loss: 0.974
[2,   250] train loss: 0.976
[2,   255] train loss: 0.980
[2,   260] train loss: 0.972
[2,   265] train loss: 0.977
[2,   270] train loss: 0.976
[2,   275] train loss: 0.975
[2,   280] train loss: 0.978
[2,   285] train loss: 0.976
[2,   290] train loss: 0.976
[2,   295] train loss: 0.977
[2,   300] train loss: 0.972
[2,   305] train loss: 0.973
[2,   310] train loss: 0.976
[2,   315] train loss: 0.971
[2,   320] train loss: 0.979
[2,   325] train loss: 0.971
[2,   330] train loss: 0.976
Finished Training
[2,     5] test loss: 0.978
[2,    10] test loss: 0.964
[2,    15] test loss: 0.969
[2,    20] test loss: 0.974
[2,    25] test loss: 0.972
[2,    30] test loss: 0.973
[2,    35] test loss: 0.982
[2,    40] test loss: 0.972
[2,    45] test loss: 0.967
[2,    50] test loss: 0.972
[2,    55] test loss: 0.977
[2,    60] test loss: 0.973
[2,    65] test loss: 0.979
[2,    70] test loss: 0.974
[2,    75] test loss: 0.973
[2,    80] test loss: 0.971
[2,    85] test loss: 0.972
[2,    90] test loss: 0.966
[2,    95] test loss: 0.975
[2,   100] test loss: 0.972
[2,   105] test loss: 0.975
[2,   110] test loss: 0.983
-----------------------------------------------------------------------------------------
Micro-Precision: nan, Macro-Precision: nan

Micro-Recall: 0.0, Macro-Recall: nan

Micro-F1: 0.0, Macro-F1: nan

-----------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------
| end of epoch   1 | time: 107.19s | valid loss  0.98 | valid ppl     2.67
-----------------------------------------------------------------------------------------
[3,     5] train loss: 0.973
[3,    10] train loss: 0.975
[3,    15] train loss: 0.975
[3,    20] train loss: 0.977
[3,    25] train loss: 0.967
[3,    30] train loss: 0.976
[3,    35] train loss: 0.968
[3,    40] train loss: 0.980
[3,    45] train loss: 0.971
[3,    50] train loss: 0.971
[3,    55] train loss: 0.974
[3,    60] train loss: 0.980
[3,    65] train loss: 0.974
[3,    70] train loss: 0.977
[3,    75] train loss: 0.977
[3,    80] train loss: 0.966
[3,    85] train loss: 0.979
[3,    90] train loss: 0.978
[3,    95] train loss: 0.970
[3,   100] train loss: 0.969
[3,   105] train loss: 0.969
[3,   110] train loss: 0.979
[3,   115] train loss: 0.976
[3,   120] train loss: 0.973
[3,   125] train loss: 0.971
[3,   130] train loss: 0.974
[3,   135] train loss: 0.976
[3,   140] train loss: 0.974
[3,   145] train loss: 0.976
[3,   150] train loss: 0.971
[3,   155] train loss: 0.980
[3,   160] train loss: 0.973
[3,   165] train loss: 0.972
[3,   170] train loss: 0.969
[3,   175] train loss: 0.965
[3,   180] train loss: 0.975
[3,   185] train loss: 0.969
[3,   190] train loss: 0.969
[3,   195] train loss: 0.971
[3,   200] train loss: 0.975
[3,   205] train loss: 0.973
[3,   210] train loss: 0.968
[3,   215] train loss: 0.972
[3,   220] train loss: 0.977
[3,   225] train loss: 0.968
[3,   230] train loss: 0.975
[3,   235] train loss: 0.970
[3,   240] train loss: 0.965
[3,   245] train loss: 0.967
[3,   250] train loss: 0.980
[3,   255] train loss: 0.980
[3,   260] train loss: 0.968
[3,   265] train loss: 0.976
[3,   270] train loss: 0.974
[3,   275] train loss: 0.967
[3,   280] train loss: 0.975
[3,   285] train loss: 0.967
[3,   290] train loss: 0.969
[3,   295] train loss: 0.972
