Restoring modules from user's fosscuda111, for system: "farnam-rhel7"
/home/vs428/project/MedMentions/full/pretraining5/entity_vocab.jsonl
Some weights of the model checkpoint at microsoft/BiomedNLP-PubMedBERT-base-uncased-abstract were not used when initializing BertModel: ['cls.predictions.transform.LayerNorm.bias', 'cls.predictions.transform.dense.weight', 'cls.predictions.transform.dense.bias', 'cls.seq_relationship.bias', 'cls.predictions.transform.LayerNorm.weight', 'cls.seq_relationship.weight', 'cls.predictions.decoder.weight', 'cls.predictions.decoder.bias', 'cls.predictions.bias']
- This IS expected if you are initializing BertModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing BertModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
0
<torch.cuda.device object at 0x2b363daa4b20>
1
GeForce GTX 1080 Ti
[1,     5] train loss: 1.009
[1,    10] train loss: 1.008
[1,    15] train loss: 1.006
[1,    20] train loss: 1.004
[1,    25] train loss: 1.001
[1,    30] train loss: 0.999
[1,    35] train loss: 1.001
[1,    40] train loss: 0.992
[1,    45] train loss: 0.991
[1,    50] train loss: 0.989
[1,    55] train loss: 0.989
[1,    60] train loss: 0.987
[1,    65] train loss: 0.981
[1,    70] train loss: 0.985
[1,    75] train loss: 0.980
[1,    80] train loss: 0.969
[1,    85] train loss: 0.972
[1,    90] train loss: 0.960
[1,    95] train loss: 0.962
[1,   100] train loss: 0.956
[1,   105] train loss: 0.957
[1,   110] train loss: 0.956
[1,   115] train loss: 0.956
[1,   120] train loss: 0.950
[1,   125] train loss: 0.954
[1,   130] train loss: 0.950
[1,   135] train loss: 0.939
[1,   140] train loss: 0.944
[1,   145] train loss: 0.938
[1,   150] train loss: 0.938
[1,   155] train loss: 0.934
[1,   160] train loss: 0.932
[1,   165] train loss: 0.929
[1,   170] train loss: 0.931
[1,   175] train loss: 0.933
[1,   180] train loss: 0.938
[1,   185] train loss: 0.931
[1,   190] train loss: 0.924
[1,   195] train loss: 0.927
[1,   200] train loss: 0.929
[1,   205] train loss: 0.931
[1,   210] train loss: 0.920
[1,   215] train loss: 0.925
[1,   220] train loss: 0.912
[1,   225] train loss: 0.916
[1,   230] train loss: 0.915
[1,   235] train loss: 0.920
[1,   240] train loss: 0.914
[1,   245] train loss: 0.910
[1,   250] train loss: 0.902
