Restoring modules from user's fosscuda111, for system: "farnam-rhel7"
/home/vs428/project/MedMentions/full/pretraining2/entity_vocab.jsonl
Some weights of the model checkpoint at microsoft/BiomedNLP-PubMedBERT-base-uncased-abstract were not used when initializing BertModel: ['cls.predictions.transform.LayerNorm.weight', 'cls.predictions.bias', 'cls.predictions.transform.dense.weight', 'cls.predictions.decoder.weight', 'cls.predictions.transform.LayerNorm.bias', 'cls.predictions.decoder.bias', 'cls.seq_relationship.weight', 'cls.seq_relationship.bias', 'cls.predictions.transform.dense.bias']
- This IS expected if you are initializing BertModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing BertModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
0
<torch.cuda.device object at 0x2b99b99d3dc0>
1
GeForce GTX 1080 Ti
[1,     5] train loss: 0.994
[1,    10] train loss: 0.973
[1,    15] train loss: 0.944
[1,    20] train loss: 0.937
[1,    25] train loss: 0.925
[1,    30] train loss: 0.918
[1,    35] train loss: 0.913
[1,    40] train loss: 0.912
[1,    45] train loss: 0.905
[1,    50] train loss: 0.903
[1,    55] train loss: 0.897
[1,    60] train loss: 0.893
[1,    65] train loss: 0.888
[1,    70] train loss: 0.891
[1,    75] train loss: 0.893
[1,    80] train loss: 0.887
[1,    85] train loss: 0.879
[1,    90] train loss: 0.867
[1,    95] train loss: 0.867
[1,   100] train loss: 0.860
[1,   105] train loss: 0.863
[1,   110] train loss: 0.859
[1,   115] train loss: 0.847
[1,   120] train loss: 0.831
[1,   125] train loss: 0.833
[1,   130] train loss: 0.849
[1,   135] train loss: 0.835
[1,   140] train loss: 0.828
[1,   145] train loss: 0.831
[1,   150] train loss: 0.840
[1,   155] train loss: 0.824
[1,   160] train loss: 0.807
[1,   165] train loss: 0.812
[1,   170] train loss: 0.796
[1,   175] train loss: 0.789
[1,   180] train loss: 0.793
[1,   185] train loss: 0.800
[1,   190] train loss: 0.804
[1,   195] train loss: 0.813
[1,   200] train loss: 0.774
[1,   205] train loss: 0.792
[1,   210] train loss: 0.780
[1,   215] train loss: 0.794
[1,   220] train loss: 0.813
[1,   225] train loss: 0.772
[1,   230] train loss: 0.775
[1,   235] train loss: 0.769
[1,   240] train loss: 0.801
[1,   245] train loss: 0.787
[1,   250] train loss: 0.774
[1,   255] train loss: 0.810
[1,   260] train loss: 0.897
[1,   265] train loss: 0.843
[1,   270] train loss: 0.932
[1,   275] train loss: 0.916
[1,   280] train loss: 0.890
[1,   285] train loss: 0.903
[1,   290] train loss: 0.910
[1,   295] train loss: 0.926
[1,   300] train loss: 0.973
[1,   305] train loss: 0.972
[1,   310] train loss: 0.965
[1,   315] train loss: 0.962
[1,   320] train loss: 0.963
[1,   325] train loss: 0.969
[1,   330] train loss: 0.980
Finished Training
[1,     5] test loss: 0.967
[1,    10] test loss: 0.976
[1,    15] test loss: 0.976
[1,    20] test loss: 0.974
[1,    25] test loss: 0.977
[1,    30] test loss: 0.978
[1,    35] test loss: 0.981
[1,    40] test loss: 0.972
[1,    45] test loss: 0.973
[1,    50] test loss: 0.978
[1,    55] test loss: 0.977
[1,    60] test loss: 0.977
[1,    65] test loss: 0.980
[1,    70] test loss: 0.983
[1,    75] test loss: 0.983
[1,    80] test loss: 0.974
[1,    85] test loss: 0.978
[1,    90] test loss: 0.970
[1,    95] test loss: 0.977
[1,   100] test loss: 0.980
[1,   105] test loss: 0.978
[1,   110] test loss: 0.974
-----------------------------------------------------------------------------------------
Micro-Precision: nan, Macro-Precision: nan

Micro-Recall: 0.0, Macro-Recall: nan

Micro-F1: 0.0, Macro-F1: nan

-----------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------
| end of epoch   0 | time: 107.86s | valid loss  0.99 | valid ppl     2.68
-----------------------------------------------------------------------------------------
[2,     5] train loss: 0.976
[2,    10] train loss: 0.971
[2,    15] train loss: 0.978
[2,    20] train loss: 0.964
[2,    25] train loss: 0.970
[2,    30] train loss: 0.971
[2,    35] train loss: 0.980
[2,    40] train loss: 0.974
[2,    45] train loss: 0.971
[2,    50] train loss: 0.972
[2,    55] train loss: 0.969
[2,    60] train loss: 0.969
[2,    65] train loss: 0.980
[2,    70] train loss: 0.981
[2,    75] train loss: 0.979
[2,    80] train loss: 0.975
[2,    85] train loss: 0.973
[2,    90] train loss: 0.975
[2,    95] train loss: 0.966
[2,   100] train loss: 0.973
[2,   105] train loss: 0.986
[2,   110] train loss: 0.980
[2,   115] train loss: 0.975
[2,   120] train loss: 0.979
[2,   125] train loss: 0.977
[2,   130] train loss: 0.969
[2,   135] train loss: 0.974
[2,   140] train loss: 0.971
[2,   145] train loss: 0.977
[2,   150] train loss: 0.975
[2,   155] train loss: 0.976
[2,   160] train loss: 0.971
[2,   165] train loss: 0.974
